step,time_s,x,y,x_dot,y_dot,theta,theta_dot,leg_contact_left,leg_contact_right,goal_x,goal_y,goal_theta,main_engine_thrust,side_engine_thrust,nozzle_angle,main_engine_thrust_raw,side_engine_thrust_raw,nozzle_angle_raw,reward,terminated,truncated,next_x,next_y,next_x_dot,next_y_dot,next_theta,next_theta_dot,next_leg_contact_left,next_leg_contact_right
0,0.0,16.668445587158203,24.44498634338379,0.0,-0.16350001096725464,-0.0006418125703930855,0.0,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,-0.003054554068483412,-14128.057566387282,-1.6716546500101686,-0.003054554068483412,0.0012475561388771428,False,False,16.668210983276367,24.439489364624023,-0.013602353632450104,-0.3269798159599304,-0.0005216625286266208,0.007756467442959547,False,False
1,0.016666666666666666,16.668210983276367,24.439489364624023,-0.013602353632450104,-0.3269798159599304,-0.0005216625286266208,0.007756467442959547,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.07878639020828997,-13984.628273976079,-1.6079576669028028,0.07878639020828997,0.02453949831497823,False,False,16.66775131225586,24.4312801361084,-0.027204113081097603,-0.4904617369174957,-0.00027005845913663507,0.01551326084882021,False,False
2,0.03333333333333333,16.66775131225586,24.4312801361084,-0.027204113081097603,-0.4904617369174957,-0.00027005845913663507,0.01551326084882021,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.16064194698602663,-13837.121126991316,-1.5433771037613044,0.16064194698602663,0.025306614763080687,False,False,16.667064666748047,24.42035484313965,-0.04080551117658615,-0.6539486050605774,0.00011272438132436946,0.023270273581147194,False,False
3,0.05,16.667064666748047,24.42035484313965,-0.04080551117658615,-0.6539486050605774,0.00011272438132436946,0.023270273581147194,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.24251096785351547,-13685.57457181339,-1.4779127899426387,0.24251096785351547,-0.031559846632803784,False,False,16.666154861450195,24.406709671020508,-0.054406702518463135,-0.8174428939819336,0.0006261881208047271,0.0310274176299572,False,False
4,0.06666666666666667,16.666154861450195,24.406709671020508,-0.054406702518463135,-0.8174428939819336,0.0006261881208047271,0.0310274176299572,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.32439248198631687,-13530.075281758207,-1.4115713720442726,0.32439248198631687,-0.03435752737917255,False,False,16.665019989013672,24.390344619750977,-0.06800778955221176,-0.9809474349021912,0.001269778236746788,0.03878464549779892,False,False
5,0.08333333333333333,16.665019989013672,24.390344619750977,-0.06800778955221176,-0.9809474349021912,0.001269778236746788,0.03878464549779892,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.4062859411519021,-13370.668407376035,-1.3443538773804904,0.4062859411519021,-0.03713799699238621,False,False,16.663658142089844,24.371259689331055,-0.08160880953073502,-1.1444647312164307,0.0020433273166418076,0.04654190316796303,False,False
6,0.1,16.663658142089844,24.371259689331055,-0.08160880953073502,-1.1444647312164307,0.0020433273166418076,0.04654190316796303,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.4881907612439245,-13207.401878646324,-1.2762595150619744,0.4881907612439245,-0.039907594354916115,False,False,16.66206932067871,24.34945297241211,-0.09520981460809708,-1.307997465133667,0.002946792636066675,0.05429917946457863,False,False
7,0.11666666666666667,16.66206932067871,24.34945297241211,-0.09520981460809708,-1.307997465133667,0.002946792636066675,0.05429917946457863,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.5701068207253702,-13040.339035413126,-1.2072885031811893,0.5701068207253702,-0.04264620795523058,False,False,16.660253524780273,24.324918746948242,-0.10881079733371735,-1.471548318862915,0.003980070818215609,0.06205645203590393,False,False
8,0.13333333333333333,16.660253524780273,24.324918746948242,-0.10881079733371735,-1.471548318862915,0.003980070818215609,0.06205645203590393,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.6520338749983349,-12869.541869596473,-1.137441501673311,0.6520338749983349,-0.045381339313423724,False,False,16.65821075439453,24.29766273498535,-0.12241174280643463,-1.635119915008545,0.005142904818058014,0.06981372833251953,False,False
9,0.15,16.65821075439453,24.29766273498535,-0.12241174280643463,-1.635119915008545,0.005142904818058014,0.06981372833251953,False,False,15.0,7.4796546662204,0.0,0.0,-1.0,0.7339719808176159,-12695.083908029612,-1.0667197689414025,0.7339719808176159,-0.04808918947441157,False,False,16.65594482421875,24.267681121826172,-0.13601258397102356,-1.7987149953842163,0.00643514608964324,0.07757097482681274,False,False
